,judge,charge_orc,counts,prior_cases,bond_amt,bond_type,race,year
0,DONNELLY_MP,2913.02(A)(2),1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
2,MCCORMICK_T,2925.23(A),1,3,1000.0,CASH/SURETY/PROPERTY,WHITE,2009
3,VILLANUEVA_JA,2925.11(A),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
5,SUSTER_R,2925.11(A),1,8,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
7,MATIA_DT,2913.02(A)(1),1,0,2500.0,PERSONAL,BLACK,2009
8,TERRY_SJ,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
12,MCMONAGLE_RJ,2909.06(A)(1),1,1,1500.0,PERSONAL,WHITE,2009
14,RUSSO_JJ,2919.22(A),1,10,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
22,DONNELLY_MP,2913.02(A)(3),1,0,7500.0,CASH/SURETY/PROPERTY,BLACK,2009
26,GALLAGHER_ET,2925.11(A),1,8,2000.0,CASH/SURETY/PROPERTY,BLACK,2009
29,ROOM_A,2911.13,1,22,,CASH/SURETY/PROPERTY,BLACK,2009
31,PROGRAM_D,2913.51(A),1,0,1000.0,PERSONAL,BLACK,2009
34,SHEEHAN_BJ,2911.12(A)(3),1,3,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
37,BURNSIDE_JR,2913.02(A)(1),1,5,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
41,MCCAFFERTY_BM,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
45,MCGINTY_TJ,2913.02(A)(3),1,4,1500.0,PERSONAL,BLACK,2009
46,Judge2_NO,2913.02,1,0,,CASH/SURETY/PROPERTY,WHITE,2009
47,ROOM_A,2925.11,1,1,,CASH/SURETY/PROPERTY,BLACK,2009
50,MCCAFFERTY_BM,2925.11(A),1,17,1000.0,PERSONAL,BLACK,2009
54,AMBROSE_D,2913.51(A),1,11,5000.0,CASH/SURETY/PROPERTY,HISPANIC,2009
55,ROOM_A,2925.03,1,3,,CASH/SURETY/PROPERTY,WHITE,2009
61,GAUL_D,2925.11(A),1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
64,CALABRESE_DR,2925.11(A),1,2,1000.0,PERSONAL,BLACK,2009
65,TERRY_SJ,2917.13(A)(2),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
69,ROOM_A,2925.11(A),1,0,,CASH/SURETY/PROPERTY,BLACK,2009
72,RUSSO_JJ,2913.51(A),1,22,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
74,ROOM_A,2925.11,1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
75,ROOM_A,2923.17,1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
77,FRIEDMAN_SA,2913.02(A)(1),1,3,1000.0,PERSONAL,BLACK,2009
85,MCMONAGLE_RJ,2913.02(A)(1),1,22,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
89,ROOM_A,2907.04,1,0,20000.0,CASH/SURETY/PROPERTY,OTHER,2009
98,ROOM_A,2925.11,1,2,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
99,ROOM_A,2925.11,1,10,,PERSONAL,BLACK,2009
106,RUSSO_JD,2911.01(A)(1),1,2,5000.0,PERSONAL,WHITE,2009
114,SAFFOLD_SS,2913.02(A)(1),1,13,2500.0,PERSONAL,BLACK,2009
122,ROOM_A,2919.21(B),1,0,,CASH/SURETY/PROPERTY,BLACK,2009
137,SUSTER_R,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
140,CALABRESE_DR,2923.13(A)(3),1,2,2500.0,PERSONAL,BLACK,2009
144,GALLAGHER_EA,2913.02(A)(1),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
145,CORRIGAN_BJ,2913.02(A)(3),1,1,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
146,SUSTER_R,2913.21(B)(2),1,0,2500.0,PERSONAL,WHITE,2009
156,MCGINTY_TJ,2925.03(A)(1),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
159,FUERST_NA,2925.11(A),1,3,1000.0,PERSONAL,BLACK,2009
162,MCMONAGLE_TE,2913.51(A),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
163,SYNENBERG_J,2919.22(A),1,1,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
167,SUSTER_R,2925.03(A)(2),1,9,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
170,ODONNELL_JP,2921.331(B),1,15,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
175,CORRIGAN_PJ,2913.51(A),1,6,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
176,FRIEDLAND_CB,2925.11(A),1,14,5000.0,PERSONAL,BLACK,2009
180,RUSSO_JJ,2903.13,1,4,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
181,ROOM_A,2913.02,1,5,1000.0,PERSONAL,WHITE,2009
182,ROOM_A,2925.11,1,0,,PERSONAL,WHITE,2009
183,GALLAGHER_EA,2925.11(A),1,3,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
185,DONNELLY_MP,2909.05(A),1,1,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
192,GALLAGHER_ET,2911.01(A)(1),1,19,100000.0,CASH/SURETY/PROPERTY,BLACK,2009
193,GALLAGHER_ET,2911.01(A)(1),1,19,100000.0,CASH/SURETY/PROPERTY,BLACK,2009
197,GALLAGHER_EA,2903.21,1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
202,RUSSO_NM,2919.25(A),1,0,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
203,FRIEDLAND_CB,2919.25(A),1,6,5000.0,PERSONAL,BLACK,2009
208,MASON_L,2919.25(A),1,5,15000.0,CASH/SURETY/PROPERTY,WHITE,2009
209,Judge2_NO,2911.13,1,2,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
210,RUSSO_MJ,2921.32(A)(5),1,6,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
217,GALLAGHER_HL,2919.25(A),1,8,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
224,SUTULA_KA,2913.51(A),1,6,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
228,RUSSO_JD,2913.02(A)(3),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
230,GALLAGHER_ET,2925.11(A),1,1,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
234,ASTRAB_M,2925.11(A),1,0,1500.0,PERSONAL,WHITE,2009
235,GAUL_D,2925.11(A),1,1,1000.0,PERSONAL,WHITE,2009
237,CORRIGAN_PJ,2923.12(A)(2),1,1,1000.0,PERSONAL,BLACK,2009
238,MCCAFFERTY_BM,2921.34(A)(1),1,6,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
239,MASON_L,2921.34(A)(1),1,3,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
240,SYNENBERG_J,2921.34(A)(1),1,3,5000.0,CASH/SURETY/PROPERTY,WHITE,2009
241,SUTULA_KA,2921.34(A)(1),1,5,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
242,SUTULA_JD,2919.24,1,0,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
243,MCMONAGLE_TE,2921.34(A)(1),1,12,10000.0,CASH/SURETY/PROPERTY,WHITE,2009
244,CORRIGAN_PJ,2921.34(C)(2)(B),1,2,10000.0,CASH/SURETY/PROPERTY,BLACK,2009
251,GALLAGHER_ET,2903.13(A),1,0,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
253,ODONNELL_JP,2925.03(A)(1),1,5,2500.0,PERSONAL,BLACK,2009
259,RUSSO_NM,2913.02(A)(1),1,23,2500.0,CASH/SURETY/PROPERTY,WHITE,2009
264,CORRIGAN_PJ,2921.31,1,1,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
274,SYNENBERG_J,2907.24(B),1,1,5000.0,CASH/SURETY/PROPERTY,OTHER,2009
276,AMBROSE_D,2913.51(A),1,2,1500.0,PERSONAL,WHITE,2009
277,ROOM_A,2925.11,1,6,,CASH/SURETY/PROPERTY,BLACK,2009
278,ROOM_A,2923.12,1,4,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
288,RUSSO_NM,2925.11(A),1,6,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
289,ODONNELL_JP,2925.11(A),1,4,1500.0,CASH/SURETY/PROPERTY,BLACK,2009
291,MASON_L,2913.02(A)(1),1,0,1000.0,PERSONAL,WHITE,2009
292,RUSSO_NM,2925.11(A),1,0,1000.0,PERSONAL,WHITE,2009
294,CORRIGAN_PJ,2907.04(A),1,2,5000.0,CASH/SURETY/PROPERTY,BLACK,2009
295,MCMONAGLE_RJ,2919.25(A),1,3,2500.0,PERSONAL,WHITE,2009
297,FUERST_NA,2911.12(A)(2),1,1,25000.0,CASH/SURETY/PROPERTY,BLACK,2009
298,MCCORMICK_T,2925.11(A),1,10,2500.0,CASH/SURETY/PROPERTY,BLACK,2009
